CODE,NAME,TOT_P,SANITATION TECH.
1058,Halmat Pora,5226,DWARTS
1059,Bichwal,0,FSM
1060,Chhandaji,458,FSM
1061,Rangin Pora (Wavan),610,FSM
1062,Laldiad Pora (Labkachal),0,FSM
1063,Nagin Pora (Athwatu),992,FSM
1064,Auwoora,9705,DWARTS
1065,Sool Koot,4600,DWARTS
1066,Bana Koot,7011,DWARTS
1067,Marhama,1697,SEWREGE
1068,Zurhama,3722,DWARTS
1069,Farkan,2577,DWARTS
1070,Meelyal,2467,DWARTS
1071,Ladriwan,2076,DWARTS
1072,Zangli Kasheera,2798,DWARTS
1073,Khurhama,4582,DWARTS
1074,Wakhah,1633,SEWREGE
1075,Kachi Hama,3801,DWARTS
1076,Forest Block,13344,DWARTS
1077,Teker,1739,SEWREGE
1078,Kawari,1891,SEWREGE
1079,Warsun,4694,DWARTS
1080,Manrigam,5353,DWARTS
1081,Batter Gam,1955,SEWREGE
1082,Checki Kaliloan,430,FSM
1083,Alchi Zal,1106,SEWREGE
1084,Kupwara (NAC),14857,DWARTS
1085,Khurshi Pora (Bothu),584,FSM
1086,Soner Wani,1740,SEWREGE
1087,Khumriyal,4874,DWARTS
1088,Gagal,4599,DWARTS
1089,Gulgam,8755,DWARTS
1090,Guzriyal,2914,DWARTS
1091,Hundi,2059,DWARTS
1092,Kuhigam,4403,DWARTS
1093,Ahim Sharif,1080,SEWREGE
1094,Cheeri Koot,2553,DWARTS
1095,Buhi Pora,1899,SEWREGE
1096,Hayan,3338,DWARTS
1097,Ration Pora,2803,DWARTS
1098,Aloosa,7925,DWARTS
1099,Gushi,3042,DWARTS
1100,Sorigam,4342,DWARTS
1101,Gundi  Jahangeer,634,FSM
1102,Doni Wari,1471,SEWREGE
1103,Lona Hari,2939,DWARTS
1104,Shumriyal,681,FSM
1105,Heri,4864,DWARTS
1106,Sever Thendi Pora,4711,DWARTS
1107,Gund Gushi,370,FSM
1108,Chak Rashi Pora,465,FSM
1109,Trehgam,9054,DWARTS
1110,Sonagam (Owngam),3917,DWARTS
1111,Voora,2485,DWARTS
1112,Kheyar,1257,SEWREGE
1113,Maidan Pora,5272,DWARTS
1114,Dard Hari Khar Gund,2848,DWARTS
1115,Murad Pora (Mangni Pora),3006,DWARTS
1116,Khanti Pora,3014,DWARTS
1117,Putushy,2794,DWARTS
1118,Dard Sun Resh Gund,5260,DWARTS
1119,Bandipore,25795,DWARTS
1120,Tekiya Khurhama,857,FSM
1121,Hanji Pora,928,FSM
1122,Malan Gam,6703,DWARTS
1123,Anayat Pora (Khar Pora),1494,SEWREGE
1124,Lawi Pora (Kaloosa Nath Pora),1631,SEWREGE
1125,Samthan,117,FSM
1126,Dard Pora,10651,DWARTS
1127,Qunan Baba Gund,1575,SEWREGE
1128,Koyal Mukam,5437,DWARTS
1129,Poosh Pora,2253,DWARTS
1130,Phalwan Pora (Panji Gam),1275,SEWREGE
1131,Sayiwan,1068,SEWREGE
1132,Warnow,6213,DWARTS
1133,Krohsan,2214,DWARTS
1134,Kar Hama,1054,SEWREGE
1135,Push Wari,742,FSM
1136,Bumhama,2443,DWARTS
1137,Gungloosa (Gugloosa),3610,DWARTS
1138,Kral Pora,5286,DWARTS
1139,Gung Bug,909,FSM
1140,Shum Nag,1584,SEWREGE
1141,Bali Pora,298,FSM
1142,Daramwari,502,FSM
1143,Gundi Momin,374,FSM
1144,Banger Gund,230,FSM
1145,Padder Gund,282,FSM
1146,Solina,395,FSM
1147,Tung Check,1802,SEWREGE
1148,Mugal Pora,1406,SEWREGE
1149,Ander Hama,4960,DWARTS
1150,Pari Pora,462,FSM
1151,Gofa Bal,264,FSM
1152,Hat Mulla,1971,SEWREGE
1153,Arin Dard Pora,4780,DWARTS
1154,Sher Kot,536,FSM
1155,Pazi Pora,1893,SEWREGE
1156,Shoolora,2118,DWARTS
1157,Dara Pora,4466,DWARTS
1158,Sunti Pora,1466,SEWREGE
1159,Bata Pora,1441,SEWREGE
1160,Rawat Pora,1975,SEWREGE
1161,Panzgam,9198,DWARTS
1162,Slamat Wari,124,FSM
1163,Dahama,2583,DWARTS
1164,Aloosa,1647,SEWREGE
1165,Drug Mulla,9062,DWARTS
1166,Watter Khani,734,FSM
1167,Zurbaf Pora (Dachi Gam),3195,DWARTS
1168,Wara Pora,878,FSM
1169,Cham Pora,900,FSM
1170,Konan Baba Gund,2461,DWARTS
1171,Gotangoo,515,FSM
1172,Sogam,6890,DWARTS
1173,Dedi Koot,1594,SEWREGE
1174,Ichu,104,FSM
1175,Gundi Zuni Reshi,1855,SEWREGE
1176,Shedi Pora,619,FSM
1177,Wowri Pora,97,FSM
1178,Sumblar Shok Baba,4982,DWARTS
1179,Qazipora Patushi,5241,DWARTS
1180,Gundi Lasa Shah,207,FSM
1181,Manz Gam,1768,SEWREGE
1182,Ashtongu,4275,DWARTS
1183,Kigam,2363,DWARTS
1184,Hakcher Pora,145,FSM
1185,Shat Muqam,301,FSM
1186,Rud Bug,1985,SEWREGE
1187,Bramri,2868,DWARTS
1188,Kudara,1518,SEWREGE
1189,Checki Bakshi,197,FSM
1190,Amar Gadh,1568,SEWREGE
1191,Buber Nag,327,FSM
1192,Chonti Mula,2434,DWARTS
1193,Ogabal,580,FSM
1194,Budnumbal,2299,DWARTS
1195,Pach Kote,929,FSM
1196,Kal Mona,1092,SEWREGE
1197,Lal Pora,11894,DWARTS
1198,Negrimal Pora,3762,DWARTS
1199,Dowlat Pora( Panju Dangri),3775,DWARTS
1200,Chowkibal,2162,DWARTS
1201,Gund Qasar,999,FSM
1202,Redi Nag,1383,SEWREGE
1203,Rukh Machwari,0,FSM
1204,Chrali Gund,1007,SEWREGE
1205,Tumina (Tembna),1675,SEWREGE
1206,Takiya Ahmad Shah,678,FSM
1207,Wilgam,3497,DWARTS
1208,Magam,6526,DWARTS
1209,Kunas,3967,DWARTS
1210,Chak Arsala Khan,910,FSM
1211,Chandi Gam,2533,DWARTS
1212,Gamroo,1228,SEWREGE
1213,Hafrada,3749,DWARTS
1214,Gundpora Rampora,1951,SEWREGE
1215,Nut Nusa,3323,DWARTS
1216,Rukh Gund Macher,1126,SEWREGE
1217,Doli Pora,1601,SEWREGE
1218,Hayat Pora,1370,SEWREGE
1219,Chera Mandi,402,FSM
1220,Jagar Pur,2028,DWARTS
1221,Dard Pora,2749,DWARTS
1222,Lawadora,1534,SEWREGE
1223,Teki Pora,5472,DWARTS
1224,Drooch Wani,2451,DWARTS
1225,Muqam Lolab,725,FSM
1226,Kandi  Khas,4556,DWARTS
1227,Nadihal,3985,DWARTS
1228,Kawa Wari,1186,SEWREGE
1229,Thun Doosa,624,FSM
1230,Barar,852,FSM
1231,Chera Pawa,480,FSM
1232,Gund Dachhana,1086,SEWREGE
1233,Suna Mulloo,1280,SEWREGE
1234,Harwan,2408,DWARTS
1235,Sadhunara Hasti Khan,7390,DWARTS
1236,Chithi Bandi,6351,DWARTS
1237,Zalura,3852,DWARTS
1238,Muqam Shrif Dar,76,FSM
1239,Cheer Kote,911,FSM
1240,Treach,1077,SEWREGE
1241,Dever Inder Bug,7442,DWARTS
1242,Kukrusa,1908,SEWREGE
1243,Bata Pora  Magam,915,FSM
1244,Forest Block,419,FSM
1245,Neli Pora,1497,SEWREGE
1246,Aragam,2460,DWARTS
1247,Yamberzal Wari,1285,SEWREGE
1248,Forest Block,0,FSM
1249,Lathi Shath,1248,SEWREGE
1250,Sagi Pora,2394,DWARTS
1251,Rampora Rajpur,1332,SEWREGE
1252,Shah Pora (Shoga Pora),915,FSM
1253,Geri Pora,1029,SEWREGE
1254,Tulwari,367,FSM
1255,Tarat Pora,1458,SEWREGE
1256,Pazwal Pora,509,FSM
1257,Pernai,189,FSM
1258,Sodal,983,FSM
1259,Khan Pora,827,FSM
1260,Garoora,3258,DWARTS
1261,Karhama,359,FSM
1262,Nawpora Tujar,819,FSM
1263,Wagat,612,FSM
1264,Shihil Hal,1120,SEWREGE
1265,Tangdhar,6064,DWARTS
1266,Lilam,723,FSM
1267,Voda Pora (Udh Pora),1740,SEWREGE
1268,Askan Pora,493,FSM
1269,Idi Pora,3979,DWARTS
1270,Siraj Pora,1176,SEWREGE
1271,Tampora,714,FSM
1272,Tarban Sionary,302,FSM
1273,Tujar Pahle Har,5714,DWARTS
1274,Darel,1237,SEWREGE
1275,Gund Prang,3204,DWARTS
1276,Nichian,1649,SEWREGE
1277,Kheman Reshan,0,FSM
1278,Pala  Pora,391,FSM
1279,Hajinar,881,FSM
1280,Athratoo,61,FSM
1281,Muqam Shaheed Mir,1087,SEWREGE
1282,Kandi,3197,DWARTS
1283,Rakhi Shihilhal,449,FSM
1284,Chera Har,429,FSM
1285,Tuli Gund (Tuti Gund),397,FSM
1286,Hangni Kot,975,FSM
1287,Baki Aker,1517,SEWREGE
1288,Wagi Pora,0,FSM
1289,Dudi Pora,1323,SEWREGE
1290,Kali Pora,375,FSM
1291,Kinal,1344,SEWREGE
1292,Watlab,1878,SEWREGE
1293,Dildar,3074,DWARTS
1294,Wara Pora,1134,SEWREGE
1295,Hardushuo,5180,DWARTS
1296,Teetwal,840,FSM
1297,Harni Pora,145,FSM
1298,Mala Pora Panditan,409,FSM
1299,Pahel Dajiupaz Wani,600,FSM
1300,Nathi Pora,1372,SEWREGE
1301,Mandji,1019,SEWREGE
1302,Gundi Gojran,1179,SEWREGE
1303,Peir Panjoh,67,FSM
1304,Botingu,3793,DWARTS
1305,Sadrakote Pain,2454,DWARTS
1306,Hardunu,872,FSM
1307,Wadi Pora,1242,SEWREGE
1308,Wari Pora Guni Pora,1244,SEWREGE
1309,Baghbala,1415,SEWREGE
1310,Bunagam,647,FSM
1311,Takia Khan Mohammad,446,FSM
1312,Handwara (NAC),10638,DWARTS
1313,Krum Hoora (Krim Har),757,FSM
1314,Khawarpara,2508,DWARTS
1315,Mala Guni Pora,1102,SEWREGE
1316,Zaffar Khani,344,FSM
1317,Maidani Chugal,3421,DWARTS
1318,Turka Pora,1072,SEWREGE
1319,Lachi Pora,555,FSM
1320,Waskura,843,FSM
1321,Khai Pora,1121,SEWREGE
1322,Bumai,824,FSM
1323,Zooni Pora,643,FSM
1324,Hindwal,146,FSM
1325,Tarbuni,437,FSM
1326,Kulan Gam Bagh,1960,SEWREGE
1327,Guri Aker,835,FSM
1328,Gomal,734,FSM
1329,Cham Koote,1020,SEWREGE
1330,Waisu Kawnar,1209,SEWREGE
1331,Gundi Sayedan,317,FSM
1332,Behram Pora,3961,DWARTS
1333,Shamis Pora (Hapat Khanni),345,FSM
1334,Wadura,3861,DWARTS
1335,Drusu Jagir,758,FSM
1336,Logri Pora,1194,SEWREGE
1337,Wangat,4910,DWARTS
1338,Sochal Yari,475,FSM
1339,Hari Pora,947,FSM
1340,Wahi Pora,1262,SEWREGE
1341,Raj Pora,1433,SEWREGE
1342,Said Pora (Sultan Pora),251,FSM
1343,Gori Pora Dara Pora,1665,SEWREGE
1344,Chatar Koote,529,FSM
1345,Doru,3255,DWARTS
1346,Dragar,366,FSM
1347,Mala Mapan Pora,1771,SEWREGE
1348,Daringla,553,FSM
1349,Khir Man Tilak Chand,571,FSM
1350,Siri Hari Karan Gund,1475,SEWREGE
1351,Lacham Pora,709,FSM
1352,Poshwan (Zachal Dara),1842,SEWREGE
1353,Bada Kot Machi Pora,1595,SEWREGE
1354,Magri Pora,432,FSM
1355,Chugal,1606,SEWREGE
1356,Ahagam,1361,SEWREGE
1357,Sarmarg,1358,SEWREGE
1358,Badar Kol,1095,SEWREGE
1359,Hasmat Pora (Hath Langu),2629,DWARTS
1360,Kultra,996,FSM
1361,Sem Pora,785,FSM
1362,Wara Pora,653,FSM
1363,Badwan,434,FSM
1364,Dugri Pora,1106,SEWREGE
1365,Chater Gul,5919,DWARTS
1366,Puhrupath,1905,SEWREGE
1367,Chani Pora Bala,470,FSM
1368,Ratten Pora (Behni Pora),1590,SEWREGE
1369,Bahadar Pora,312,FSM
1370,Anderwan,2115,DWARTS
1371,Hib Danger Pora,2883,DWARTS
1372,Sat Kojan,1596,SEWREGE
1373,Hanji Shat,586,FSM
1374,Chinja Mula,728,FSM
1375,Gundi Shath,176,FSM
1376,Sonamarg,932,FSM
1377,Glura,1623,SEWREGE
1378,Ibkoote,973,FSM
1379,Wara  Pora,5046,DWARTS
1380,Kohnagabra,633,FSM
1381,Madwan,1992,SEWREGE
1382,Khanan,1181,SEWREGE
1383,Margi Pora Bala,135,FSM
1384,Bawan Wastar,871,FSM
1385,Khonu Baba Gund,1007,SEWREGE
1386,Yamler,765,FSM
1387,Shati Gam,789,FSM
1388,Chani Pora Pain,900,FSM
1389,Gund Brat,1934,SEWREGE
1390,Nabad Zab,173,FSM
1391,Janwara,2160,DWARTS
1392,Yunsu,1096,SEWREGE
1393,Spahan Yaru,592,FSM
1394,Lara Bal,196,FSM
1395,Pingla Haridal,452,FSM
1396,Danger Pora,7280,DWARTS
1397,Seelo,3695,DWARTS
1398,Ajas,9870,DWARTS
1399,Bader Heer,1085,SEWREGE
1400,Sadura Gund,630,FSM
1401,Wader Bala,1102,SEWREGE
1402,Nicha Hama,639,FSM
1403,Nagrad Nar,462,FSM
1404,Nowangabra,4801,DWARTS
1405,Nilagrar,683,FSM
1406,Bahardas Koot,872,FSM
1407,Choti Pora,265,FSM
1408,Watra Gam Pain,2260,DWARTS
1409,Dursu Khalsa,345,FSM
1410,Kachri,437,FSM
1411,Chitlora,1508,SEWREGE
1412,Marat Gam,1319,SEWREGE
1413,Kuhru,1045,SEWREGE
1414,Ujroo,572,FSM
1415,Tulwari,1274,SEWREGE
1416,Hajan,9972,DWARTS
1417,Kargam,1092,SEWREGE
1418,Dangi Wachha,2254,DWARTS
1419,Path Bug,682,FSM
1420,Porajat Gagangir,2099,DWARTS
1421,Panj Taran,587,FSM
1422,Nihama,386,FSM
1423,Tad,960,FSM
1424,Udi Pora,1215,SEWREGE
1425,Langet,3778,DWARTS
1426,Bohri Pora,802,FSM
1427,Lal Bug,353,FSM
1428,Brat,2664,DWARTS
1429,Gund Karim Khan,837,FSM
1430,Wadar Pain,1698,SEWREGE
1431,Watra Gam Bala,1635,SEWREGE
1432,Chipdeji,87,FSM
1433,Hajitrah,1564,SEWREGE
1434,Gund Mulraj,473,FSM
1435,Bata Pora,436,FSM
1436,Yaru,718,FSM
1437,Pararah,915,FSM
1438,Mala  Bagh,327,FSM
1439,Rawchha,2164,DWARTS
1440,Super Negam,1448,SEWREGE
1441,Kacha Nambal,2394,DWARTS
1442,Hardu Chanam,581,FSM
1443,Gasla,0,FSM
1444,Gana Pora,1369,SEWREGE
1445,Dhanni,732,FSM
1446,Ara Hama,1636,SEWREGE
1447,Shatgund Pain,583,FSM
1448,Loki Pora,1469,SEWREGE
1449,Hajan,714,FSM
1450,Shat Gund Bala,709,FSM
1451,Rakh Hajin,1982,SEWREGE
1452,Sopore,52852,DWARTS
1453,Said Pora,2291,DWARTS
1454,Bicherwari,1014,SEWREGE
1455,Berna Bugh,2232,DWARTS
1456,Shah Gund,5537,DWARTS
1457,Gund Sadra Kote,5722,DWARTS
1458,Sangram Pora,151,FSM
1459,Dundusa,845,FSM
1460,Chiner,807,FSM
1461,Dugri Pora,198,FSM
1462,Muqam Rajwar,398,FSM
1463,Amrooi,832,FSM
1464,Mundi Gam,1178,SEWREGE
1465,Margi Pora Pain,234,FSM
1466,Adi Pora,2927,DWARTS
1467,Chat Kari,116,FSM
1468,Arigori Pora,1979,SEWREGE
1469,Bata Gund,1145,SEWREGE
1470,Hangah,1701,SEWREGE
1471,Hari Pora,2830,DWARTS
1472,Ussan,3374,DWARTS
1473,Bijidarah,140,FSM
1474,Krala Gund,1639,SEWREGE
1475,Kolan,3145,DWARTS
1476,Yar Bug,1042,SEWREGE
1477,Raban Ranahama,3775,DWARTS
1478,Sud Pura,668,FSM
1479,Chunti Pora,785,FSM
1480,Vedipora Lurhama,1086,SEWREGE
1481,Menkal,342,FSM
1482,Wari Pora,344,FSM
1483,Jabri,375,FSM
1484,Laisar,833,FSM
1485,Khana Gund,311,FSM
1486,Mandinu Hachinar,26,FSM
1487,Mani Gam,5354,DWARTS
1488,Chunt Valiwar,4523,DWARTS
1489,Gund Ari,666,FSM
1490,Chrali Gund,290,FSM
1491,Hadi Pora,3178,DWARTS
1492,Hachivi Pora,232,FSM
1493,Lach,2370,DWARTS
1494,Qalam Abad (Kalam Chakla),2012,DWARTS
1495,Gund Chabutra,1470,SEWREGE
1496,Harawat,583,FSM
1497,Duli Gund,536,FSM
1498,Pandit Pora,1365,SEWREGE
1499,Sahi Pora,1053,SEWREGE
1500,Shanu,1365,SEWREGE
1501,Bari Gund,0,FSM
1502,Mawar,964,FSM
1503,Pingru,937,FSM
1504,Wahama,1953,SEWREGE
1505,Gund Kamal,457,FSM
1506,Wulrama,1224,SEWREGE
1507,Palang,1907,SEWREGE
1508,Adura,1229,SEWREGE
1509,Chander Gair,1889,SEWREGE
1510,Lari,790,FSM
1511,Ananwan,687,FSM
1512,Drag Tanga,354,FSM
1513,Barwalah,1228,SEWREGE
1514,Kunel,564,FSM
1515,Rasri Pora,854,FSM
1516,Malgam,0,FSM
1517,Sheka Pora,267,FSM
1518,Nakhi Pora Bata Pora,1027,SEWREGE
1519,Bamlina,270,FSM
1520,Sonian Saidnar,840,FSM
1521,Drungsu Shhnagri,954,FSM
1522,Thuker Pora (Thaka Pora),227,FSM
1523,Wajhama,661,FSM
1524,Muqam Handwan Pora,386,FSM
1525,Nawgam,2245,DWARTS
1526,Wara Pora,344,FSM
1527,Fider Pora,829,FSM
1528,Revil,2039,DWARTS
1529,Fagi Pora,140,FSM
1530,Sanzi Pora Kutlari,1205,SEWREGE
1531,Bena Hama,1355,SEWREGE
1532,Manchan Pora,447,FSM
1533,Ham Pora,900,FSM
1534,Gotli Bagh,796,FSM
1535,Dalri,237,FSM
1536,Sare Para Budan,1603,SEWREGE
1537,Pari Pora,888,FSM
1538,Kij Parah,516,FSM
1539,Renan,587,FSM
1540,Kosum Bagh (Hakbara),3631,DWARTS
1541,Chaka Poran,91,FSM
1542,Seen,352,FSM
1543,Pala  Pora,781,FSM
1544,Khai Pora,841,FSM
1545,Ash Pora,1459,SEWREGE
1546,Hardo Panzin,963,FSM
1547,Zethan,659,FSM
1548,Wail,7069,DWARTS
1549,Kachlu Qazi Pora,1361,SEWREGE
1550,Otingru,255,FSM
1551,Bahar Abad (Amcha Kundal),4352,DWARTS
1552,Kangan,4027,DWARTS
1553,Chij Hama,2159,DWARTS
1554,Khudi,590,FSM
1555,Mangwal Pora,322,FSM
1556,Wangam,340,FSM
1557,Krala Pora,830,FSM
1558,Chatusa,672,FSM
1559,Satrina,82,FSM
1560,Panzala Gund Bal,1549,SEWREGE
1561,Gund Sarsingh,2772,DWARTS
1562,Reshi Pora,621,FSM
1563,Rawal Pora,918,FSM
1564,Kartar Garh,754,FSM
1565,Khushi Pora,828,FSM
1566,Terina  Tantri Gund,745,FSM
1567,Bagh Mahanand,418,FSM
1568,Achha Bal,5858,DWARTS
1569,Shil Thra,283,FSM
1570,Budha Bug,448,FSM
1571,Vij Pora,2589,DWARTS
1572,Badrah,920,FSM
1573,Wan Pora,550,FSM
1574,Bagh Zaman Ganai,131,FSM
1575,Najwan Nilah,601,FSM
1576,Fraw Haknar,2448,DWARTS
1577,Jahama,679,FSM
1578,Dachan Pora,464,FSM
1579,Pazi Pora,163,FSM
1580,Renga  Path,1380,SEWREGE
1581,Harel,1975,SEWREGE
1582,Patusa,1001,SEWREGE
1583,Pakhwara,272,FSM
1584,Dedar Pora,1109,SEWREGE
1585,Ruhama,4954,DWARTS
1586,Gund Razak,325,FSM
1587,Chiva,2360,DWARTS
1588,Darabal Bala,211,FSM
1589,Kungrusa,794,FSM
1590,Darabal Pain,368,FSM
1591,Tanga Mula,551,FSM
1592,Khawar Ware,212,FSM
1593,Shihil Pora,143,FSM
1594,Forest Block,7343,DWARTS
1595,Pazwal Pora,508,FSM
1596,Haider Mari,115,FSM
1597,Safal Pora,456,FSM
1598,Wata Lar,2824,DWARTS
1599,Gund Bun,1491,SEWREGE
1600,Cheerwan,2347,DWARTS
1601,Logriwal Pora,413,FSM
1602,Sheikh Pora,600,FSM
1603,Qasba Lar,2539,DWARTS
1604,Ahanger Pora,135,FSM
1605,Ludura,3286,DWARTS
1606,Tarazuea,6530,DWARTS
1607,Huma Dub,276,FSM
1608,Mar Gund,1284,SEWREGE
1609,Duda Kuhl,167,FSM
1610,Chanthan Gulab Pora,1463,SEWREGE
1611,Gundi Jahangir,2909,DWARTS
1612,Dazna,294,FSM
1613,Bata Pora Najar,215,FSM
1614,Feroz Pora,1063,SEWREGE
1615,Dara Nambal,1690,SEWREGE
1616,Akhal,3059,DWARTS
1617,Lohikot,488,FSM
1618,Bandi,585,FSM
1619,Mana Bal,417,FSM
1620,Trega Pora,821,FSM
1621,Hunru,502,FSM
1622,Sumbal Bala,1652,SEWREGE
1623,Pahli Pora,2415,DWARTS
1624,Shoga Pora,275,FSM
1625,Zani Pora,444,FSM
1626,Satrina,997,FSM
1627,Urpash,1939,SEWREGE
1628,Chapper Gund,184,FSM
1629,Nawgam,353,FSM
1630,Tangchatir,228,FSM
1631,Seer Jagir,8849,DWARTS
1632,Now Pora Hamal,120,FSM
1633,Balhama Thakan Pora,1392,SEWREGE
1634,Maz Bug,1583,SEWREGE
1635,Rapore,2397,DWARTS
1636,Safa Pora,7792,DWARTS
1637,Sadi Pora,400,FSM
1638,Duni Wari,174,FSM
1639,Arch,1356,SEWREGE
1640,Nuner,2795,DWARTS
1641,Kitar Daji,260,FSM
1642,Hamam,245,FSM
1643,Gulshan Pora (Markunda),1936,SEWREGE
1644,Thune,3529,DWARTS
1645,Watal Bag,923,FSM
1646,Push Wari,1824,SEWREGE
1647,Ludhu Lodura,993,FSM
1648,Gundi Balakh,177,FSM
1649,Babosi Pora,478,FSM
1650,Sadat Pora (Naid Khi),7278,DWARTS
1651,Gulab Bagh (Pater Molla),871,FSM
1652,Mamer,2435,DWARTS
1653,Hardo Murad Abad,123,FSM
1654,Hari Ganiwan,5000,DWARTS
1655,Wond Hama,492,FSM
1656,Yan Goora,4110,DWARTS
1657,Asham,3811,DWARTS
1658,Markote,158,FSM
1659,Gund Ramzan,146,FSM
1660,Hayan Palpora,2179,DWARTS
1661,Gund Bakir,156,FSM
1662,Shitlu,2543,DWARTS
1663,Rangdum,284,FSM
1664,Dilna,6847,DWARTS
1665,Forest Block,1042,SEWREGE
1666,Syal Kot,1034,SEWREGE
1667,Naid Hal,5962,DWARTS
1668,Khrani Hama,1011,SEWREGE
1669,Khusual Pora (Chinar Bitchri Gund),1089,SEWREGE
1670,Sadra Bagh,314,FSM
1671,Sarich Chodri Bagh,1099,SEWREGE
1672,Chashma Manasbal,472,FSM
1673,Haigam,5297,DWARTS
1674,Kitru Nari Bal,695,FSM
1675,Kani Pora,987,FSM
1676,Bardala,507,FSM
1677,Kalander Pora (Wank,1218,SEWREGE
1678,Soraf Raw,2472,DWARTS
1679,Hilal Abad (Nisbal),3694,DWARTS
1680,Barsoo,1502,SEWREGE
1681,Sherwani Abad (Bener Kashdura),3012,DWARTS
1682,Latiwaza,289,FSM
1683,Krank Shivan,2752,DWARTS
1684,Brana Dab,1394,SEWREGE
1685,Sumbal,10655,DWARTS
1686,Bandi Bagh,258,FSM
1687,Maqbool Abad (Ohlitra),1372,SEWREGE
1688,Ladi Angan,287,FSM
1689,Rakh Haigam,1779,SEWREGE
1690,Yechi Hama,910,FSM
1691,Danger Pora,458,FSM
1692,Badhra Kund,1326,SEWREGE
1693,Kur Hama,2127,DWARTS
1694,Thuru,1392,SEWREGE
1695,Mala Pora,678,FSM
1696,Ganderbal (NAC),13721,DWARTS
1697,Daraduder,621,FSM
1698,Panji Pora,1306,SEWREGE
1699,Ahan,685,FSM
1700,Wagul,2087,DWARTS
1701,Chaklu,3200,DWARTS
1702,Braman,1492,SEWREGE
1703,Shah Pora,579,FSM
1704,Jahama,1795,SEWREGE
1705,Tanga Pora,403,FSM
1706,Khah Moh,1728,SEWREGE
1707,Lalad,1439,SEWREGE
1708,Wahid Pora,1041,SEWREGE
1709,Sangrama,2566,DWARTS
1710,Khan Pora,294,FSM
1711,Rakh Rabitar,92,FSM
1712,Chak Haigam,176,FSM
1713,Zazna,1064,SEWREGE
1714,Badam Pora,672,FSM
1715,Tulmulla,5410,DWARTS
1716,Baba Dariya Din,357,FSM
1717,Was Kora,1043,SEWREGE
1718,Baramula,61830,DWARTS
1719,Gali Bal,46,FSM
1720,Tramba Gund,766,FSM
1721,Nawab Bag,471,FSM
1722,Watal Hanji,432,FSM
1723,Zal Pora,1596,SEWREGE
1724,Pathu Kah Muqam,1440,SEWREGE
1725,Chhuru,695,FSM
1726,Bulagam,1493,SEWREGE
1727,Batvena,3039,DWARTS
1728,Sultan Pora Khai,6720,DWARTS
1729,Khar Bagh,409,FSM
1730,Rangil,1497,SEWREGE
1731,Nowpora Jagir,3672,DWARTS
1732,Rakh Shilvat,2997,DWARTS
1733,Wakura,3225,DWARTS
1734,Malshahi Bagh,940,FSM
1735,Puna Cheter,286,FSM
1736,Renji,1964,SEWREGE
1737,Gund Nowgam,1498,SEWREGE
1738,Saloora,2248,DWARTS
1739,Forest Block,0,FSM
1740,Sheikh Zoo,532,FSM
1741,Nowgam,4729,DWARTS
1742,Rakh Sultan Pora,1818,SEWREGE
1743,Chanda Kot,728,FSM
1744,Pochanag,718,FSM
1745,Hamray(Hamari),1419,SEWREGE
1746,Zari Gund,102,FSM
1747,Faqir Gujri,1238,SEWREGE
1748,Indir Gam,2928,DWARTS
1749,Koka Gund,200,FSM
1750,Chaku,825,FSM
